0.00	0.008	2020-12-17
0.00	0.026	2020-10-30
0.00	0.034	2020-12-18
0.00	0.034	2019-12-17
0.00	0.044	2018-11-13
0.01	0.057	2019-12-3
0.01	0.058	2020-12-19
0.01	0.063	2019-1-20
0.01	0.075	2020-12-20
0.01	0.083	2019-2-18
0.01	0.089	2019-12-4
0.01	0.099	2021-2-9
0.01	0.113	2019-1-8
0.02	0.116	2019-1-23
0.02	0.125	2021-2-10
0.02	0.125	2018-12-23
0.02	0.128	2021-2-8
0.02	0.144	2019-1-7
0.02	0.153	2018-12-8
0.02	0.161	2021-2-20
0.02	0.163	2018-11-14
0.03	0.178	2019-12-6
0.03	0.182	2019-1-21
0.03	0.189	2021-2-19
0.03	0.217	2019-1-22
0.03	0.227	2019-12-5
0.03	0.275	2020-12-21
0.03	0.286	2019-12-11
0.03	0.348	2019-12-7
0.04	0.350	2021-1-28
0.04	0.362	2020-12-5
0.04	0.422	2021-1-27
0.04	0.450	2021-2-11
0.04	0.457	2019-2-20
0.04	0.563	2019-12-2
0.04	0.568	2019-11-24
0.04	0.570	2019-2-19
0.04	0.645	2018-12-21
0.05	0.653	2020-11-23
0.05	0.654	2018-12-28
0.05	0.656	2019-12-18
0.05	0.717	2018-11-15
0.05	0.719	2018-11-20
0.05	0.750	2019-12-9
0.05	0.785	2019-3-10
0.05	0.821	2018-11-19
0.06	0.860	2019-12-30
0.06	0.864	2019-10-27
0.06	0.878	2020-2-11
0.06	0.908	2020-11-13
0.06	0.938	2020-1-4
0.06	0.939	2020-12-25
0.06	0.944	2021-2-12
0.06	1.009	2021-2-7
0.07	1.063	2021-2-1
0.07	1.091	2019-12-13
0.07	1.111	2020-2-6
0.07	1.135	2020-2-13
0.07	1.136	2019-11-18
0.07	1.157	2020-1-13
0.07	1.173	2019-3-4
0.07	1.193	2020-11-12
0.07	1.278	2019-11-12
0.08	1.291	2021-2-15
0.08	1.313	2019-12-8
0.08	1.333	2018-12-2
0.08	1.342	2019-3-2
0.08	1.397	2020-2-17
0.08	1.429	2018-11-26
0.08	1.435	2021-1-29
0.08	1.441	2020-11-30
0.09	1.458	2020-12-14
0.09	1.476	2020-12-22
0.09	1.533	2019-3-24
0.09	1.548	2020-11-22
0.09	1.575	2020-1-25
0.09	1.603	2020-10-29
0.09	1.608	2020-10-28
0.09	1.609	2020-1-19
0.10	1.613	2019-1-5
0.10	1.619	2019-1-24
0.10	1.620	2021-2-14
0.10	1.629	2020-12-12
0.10	1.660	2019-12-14
0.10	1.690	2019-12-21
0.10	1.718	2021-4-16
0.10	1.735	2021-2-2
0.11	1.748	2019-11-20
0.11	1.772	2021-1-3
0.11	1.809	2019-12-27
0.11	1.835	2019-11-22
0.11	1.839	2020-4-9
0.11	1.860	2019-2-24
0.11	1.869	2020-4-13
0.11	1.895	2019-12-31
0.11	1.901	2020-4-2
0.12	1.960	2020-10-26
0.12	1.985	2020-11-26
0.12	2.058	2018-11-25
0.12	2.058	2019-11-19
0.12	2.072	2019-10-2
0.12	2.081	2019-10-31
0.12	2.090	2020-10-13
0.12	2.094	2019-11-5
0.13	2.109	2020-2-7
0.13	2.125	2021-2-27
0.13	2.130	2018-12-16
0.13	2.150	2020-2-1
0.13	2.174	2019-11-28
0.13	2.177	2020-10-16
0.13	2.199	2018-11-16
0.13	2.209	2021-2-5
0.14	2.221	2020-4-18
0.14	2.228	2021-2-16
0.14	2.232	2021-3-28
0.14	2.242	2020-1-3
0.14	2.316	2019-10-10
0.14	2.317	2019-10-29
0.14	2.356	2020-12-31
0.14	2.358	2019-11-11
0.14	2.398	2020-11-27
0.15	2.409	2021-2-13
0.15	2.416	2020-4-3
0.15	2.449	2019-12-10
0.15	2.482	2021-1-16
0.15	2.488	2019-12-1
0.15	2.497	2018-12-15
0.15	2.507	2020-12-8
