0.00	0.283	2019-1-21
0.00	0.283	2019-12-5
0.00	0.450	2021-2-19
0.00	0.517	2021-2-10
0.00	1.167	2019-12-11
0.01	1.483	2020-12-21
0.01	1.533	2019-1-22
0.01	2.050	2021-1-27
0.01	2.400	2021-1-28
0.01	2.533	2020-12-5
0.01	2.583	2018-11-15
0.01	2.700	2020-5-16
0.01	2.883	2019-12-7
0.02	3.067	2021-2-11
0.02	3.367	2020-8-11
0.02	3.633	2020-11-23
0.02	3.783	2020-10-31
0.02	3.867	2019-12-18
0.02	4.117	2020-8-5
0.02	4.350	2019-2-20
0.02	4.400	2020-2-17
0.03	4.417	2020-12-25
0.03	4.450	2019-8-28
0.03	4.783	2019-11-24
0.03	4.817	2019-3-24
0.03	4.850	2018-12-21
0.03	4.850	2020-1-19
0.03	4.883	2019-2-19
0.03	5.050	2021-2-7
0.04	5.050	2021-2-21
0.04	5.067	2020-4-2
0.04	5.117	2019-3-10
0.04	5.117	2019-12-2
0.04	5.400	2019-12-9
0.04	5.400	2020-12-22
0.04	5.533	2019-12-30
0.04	5.633	2018-11-19
0.05	5.667	2019-2-28
0.05	5.683	2018-11-20
0.05	5.767	2019-3-4
0.05	5.917	2021-1-16
0.05	5.950	2019-4-10
0.05	6.133	2018-12-28
0.05	6.167	2020-1-4
0.05	6.183	2019-10-27
0.06	6.183	2020-7-12
0.06	6.200	2019-2-21
0.06	6.233	2020-12-12
0.06	6.300	2018-12-2
0.06	6.333	2020-12-14
0.06	6.383	2018-11-26
0.06	6.483	2019-1-5
0.06	6.483	2019-12-13
0.07	6.483	2021-2-1
0.07	6.533	2019-11-22
0.07	6.567	2019-12-14
0.07	6.650	2020-8-3
0.07	6.667	2019-12-12
0.07	6.667	2021-2-12
0.07	6.683	2019-11-5
0.07	6.767	2019-12-8
0.08	6.817	2020-11-30
0.08	6.817	2020-12-8
0.08	6.833	2020-2-6
0.08	6.850	2020-5-10
0.08	6.850	2020-11-13
0.08	6.883	2020-1-16
0.08	6.900	2019-1-24
0.08	6.950	2019-12-31
0.09	6.967	2020-1-13
0.09	6.983	2021-1-3
0.09	7.017	2019-12-10
0.09	7.017	2020-12-23
0.09	7.100	2021-1-2
0.09	7.117	2020-1-3
0.09	7.150	2020-11-22
0.09	7.183	2021-1-29
0.10	7.217	2020-6-23
0.10	7.233	2019-4-25
0.10	7.250	2019-2-12
0.10	7.317	2018-12-16
0.10	7.317	2019-12-20
0.10	7.417	2020-2-7
0.10	7.433	2019-12-1
0.10	7.433	2019-12-19
0.11	7.433	2021-1-4
0.11	7.467	2021-2-2
0.11	7.533	2018-12-1
0.11	7.550	2021-2-15
0.11	7.567	2018-12-15
0.11	7.583	2020-11-1
0.11	7.617	2020-1-8
0.11	7.633	2019-12-21
0.12	7.683	2020-1-14
0.12	7.683	2021-1-14
0.12	7.700	2019-1-19
0.12	7.700	2020-12-31
0.12	7.717	2019-12-27
0.12	7.733	2019-1-1
0.12	7.733	2021-2-16
0.12	7.767	2020-12-9
0.13	7.767	2021-1-5
0.13	7.783	2018-12-22
0.13	7.783	2019-1-3
0.13	7.783	2019-1-6
0.13	7.800	2018-12-24
0.13	7.833	2019-11-19
0.13	7.883	2018-12-17
0.13	7.883	2019-12-22
0.14	7.883	2020-1-25
0.14	7.900	2019-11-12
0.14	7.917	2018-11-16
0.14	7.917	2018-11-25
0.14	7.917	2019-11-18
0.14	7.917	2020-10-16
0.14	7.950	2020-11-12
0.14	7.950	2020-12-24
0.14	7.967	2020-11-27
0.15	7.983	2019-10-2
0.15	7.983	2020-2-1
0.15	7.983	2020-11-26
0.15	8.000	2020-1-2
0.15	8.017	2020-12-13
0.15	8.033	2020-11-25
0.15	8.033	2021-1-13
0.15	8.050	2018-12-3
0.16	8.050	2018-12-27
0.16	8.067	2018-12-20
0.16	8.067	2020-1-11
0.16	8.083	2018-12-31
0.16	8.083	2019-11-27
0.16	8.083	2019-12-26
0.16	8.083	2020-2-11
0.16	8.100	2018-12-29
0.17	8.100	2019-12-28
0.17	8.100	2021-1-11
0.17	8.117	2018-12-12
0.17	8.117	2018-12-14
0.17	8.117	2020-1-18
0.17	8.133	2019-3-2
0.17	8.133	2020-10-28
0.17	8.167	2021-1-26
0.18	8.183	2020-12-4
0.18	8.200	2018-11-27
0.18	8.200	2019-11-20
0.18	8.217	2019-2-13
0.18	8.217	2019-12-29
0.18	8.217	2020-1-5
0.18	8.217	2020-12-16
0.18	8.217	2020-12-28
0.19	8.233	2019-12-15
0.19	8.250	2018-11-24
0.19	8.250	2019-12-25
0.19	8.250	2020-1-6
0.19	8.250	2020-1-7
0.19	8.250	2020-12-15
0.19	8.267	2020-10-26
0.19	8.267	2020-12-26
0.20	8.267	2021-1-17
0.20	8.283	2018-12-13
0.20	8.283	2018-12-26
0.20	8.300	2019-12-16
0.20	8.300	2021-1-1
0.20	8.317	2019-11-28
0.20	8.333	2018-12-5
0.20	8.333	2018-12-30
0.21	8.333	2019-12-23
0.21	8.333	2020-1-12
0.21	8.333	2020-2-13
0.21	8.333	2020-11-28
0.21	8.333	2020-12-7
0.21	8.333	2020-12-10
0.21	8.333	2020-12-27
0.21	8.350	2018-12-18
0.22	8.350	2019-1-18
0.22	8.350	2021-1-9
0.22	8.367	2018-11-17
0.22	8.367	2018-11-30
0.22	8.367	2019-1-4
0.22	8.367	2020-10-13
0.22	8.367	2020-12-29
0.22	8.367	2021-1-6
0.23	8.383	2018-12-10
0.23	8.383	2019-8-17
0.23	8.383	2021-1-8
0.23	8.400	2018-12-6
0.23	8.400	2019-1-2
0.23	8.400	2019-1-14
0.23	8.400	2020-12-6
0.23	8.417	2019-12-24
0.24	8.433	2019-1-9
0.24	8.433	2019-11-17
0.24	8.433	2020-12-1
0.24	8.450	2018-12-11
0.24	8.450	2018-12-25
0.24	8.450	2021-1-12
0.24	8.467	2018-11-28
0.24	8.467	2018-12-7
0.25	8.467	2019-11-7
0.25	8.483	2018-12-4
0.25	8.483	2020-12-3
